District,Total,Date,Vac
Ariyalur,21613.0,01-04-2021,2872.23199
Chengalpattu,122542.0,01-04-2021,4793.830323
Chennai,769935.0,01-04-2021,10844.15493
Coimbatore,195513.0,01-04-2021,5630.197507
Cuddalore,73350.0,01-04-2021,2820.199317
Dharmapuri,49665.0,01-04-2021,3304.611085
Dindigul,64599.0,01-04-2021,2988.80292
Erode,68364.0,01-04-2021,3025.480526
Kallakurichi,31963.0,01-04-2021,2332.587258
Kancheepuram,35614.0,01-04-2021,3053.323857
Kanniyakumari,58603.0,01-04-2021,3145.324816
Karur,34005.0,01-04-2021,3158.589916
Krishnagiri,82308.0,01-04-2021,4369.41368
Madurai,123095.0,01-04-2021,3084.285341
Nagapattinam,31191.0,01-04-2021,1932.445267
Namakkal,79705.0,01-04-2021,10843.17025
The Nilgiris,71691.0,01-04-2021,2901.034387
Perambalur,20807.0,01-04-2021,1208.880657
Pudukkottai,42944.0,01-04-2021,7607.291975
Ramanathapuram,33139.0,01-04-2021,1727.13651
Ranipet,23098.0,01-04-2021,1726.875804
Salem,194555.0,01-04-2021,16075.24558
Sivagangai,36221.0,01-04-2021,1040.830941
Tenkasi,34222.0,01-04-2021,2551.500466
Thanjavur,78279.0,01-04-2021,5561.061275
Theni,27147.0,01-04-2021,1000.310259
Thoothukudi,36789.0,01-04-2021,2958.066519
Tiruchirapalli,112607.0,01-04-2021,6762.15566
Tirunelveli,37745.0,01-04-2021,1570.888067
Tirupathur,30792.0,01-04-2021,1771.308394
Tiruppur,66578.0,01-04-2021,5988.242617
Tiruvallur,88747.0,01-04-2021,2382.024088
Tiruvannamalai,44632.0,01-04-2021,3519.612899
Tiruvarur,21317.0,01-04-2021,863.3982256
Vellore,86575.0,01-04-2021,5363.198331
Villupuram,73473.0,01-04-2021,3510.41064
Virudhunagar,111200.0,01-04-2021,5722.19858
Ariyalur,42209.0,01-05-2021,5609.311066
Chengalpattu,253093.0,01-05-2021,9900.971895
Chennai,1489824.0,01-05-2021,20983.43662
Coimbatore,420719.0,01-05-2021,12115.4658
Cuddalore,142736.0,01-05-2021,5487.988681
Dharmapuri,87069.0,01-05-2021,5793.399428
Dindigul,136797.0,01-05-2021,6329.188888
Erode,137057.0,01-05-2021,6065.521099
Kallakurichi,55729.0,01-05-2021,4066.976044
Kancheepuram,67702.0,01-05-2021,5804.350305
Kanniyakumari,118684.0,01-05-2021,6369.97646
Karur,54978.0,01-05-2021,5106.68891
Krishnagiri,130383.0,01-05-2021,6921.529666
Madurai,226645.0,01-05-2021,5678.84846
Nagapattinam,58293.0,01-05-2021,3611.55564
Namakkal,141673.0,01-05-2021,19273.37631
The Nilgiris,134372.0,01-05-2021,5437.471826
Perambalur,33936.0,01-05-2021,1971.671744
Pudukkottai,81827.0,01-05-2021,14495.20027
Ramanathapuram,70825.0,01-05-2021,3691.253306
Ranipet,46185.0,01-05-2021,3452.929214
Salem,341921.0,01-05-2021,28251.4664
Sivagangai,66386.0,01-05-2021,1907.639293
Tenkasi,59832.0,01-05-2021,4460.913327
Thanjavur,141729.0,01-05-2021,10068.64745
Theni,58410.0,01-05-2021,2152.286523
Thoothukudi,79404.0,01-05-2021,6384.580006
Tiruchirapalli,213558.0,01-05-2021,12824.35762
Tirunelveli,73599.0,01-05-2021,3063.075661
Tirupathur,68017.0,01-05-2021,3912.674818
Tiruppur,135336.0,01-05-2021,12172.56155
Tiruvallur,183483.0,01-05-2021,4924.796622
Tiruvannamalai,82085.0,01-05-2021,6473.100575
Tiruvarur,45361.0,01-05-2021,1837.247592
Vellore,168592.0,01-05-2021,10444.03503
Villupuram,100773.0,01-05-2021,4814.756596
Virudhunagar,185263.0,01-05-2021,9533.378377
Ariyalur,73058.0,01-06-2021,9708.949462
Chengalpattu,365153.0,01-06-2021,14284.74747
Chennai,2027822.0,01-06-2021,28560.87324
Coimbatore,609487.0,01-06-2021,17551.42721
Cuddalore,207463.0,01-06-2021,7976.646366
Dharmapuri,140021.0,01-06-2021,9316.721006
Dindigul,213175.0,01-06-2021,9862.970981
Erode,218238.0,01-06-2021,9658.223904
Kallakurichi,98590.0,01-06-2021,7194.874628
Kancheepuram,128365.0,01-06-2021,11005.22033
Kanniyakumari,188314.0,01-06-2021,10107.13952
Karur,98081.0,01-06-2021,9110.356051
Krishnagiri,217217.0,01-06-2021,11531.2112
Madurai,350741.0,01-06-2021,8788.214996
Nagapattinam,102507.0,01-06-2021,6350.843737
Namakkal,222067.0,01-06-2021,30210.27901
The Nilgiris,189140.0,01-06-2021,7653.70331
Perambalur,54485.0,01-06-2021,3165.562675
Pudukkottai,140851.0,01-06-2021,24950.97527
Ramanathapuram,114259.0,01-06-2021,5954.944038
Ranipet,78748.0,01-06-2021,5887.436825
Salem,492671.0,01-06-2021,40707.29263
Sivagangai,115763.0,01-06-2021,3326.515341
Tenkasi,108091.0,01-06-2021,8058.974837
Thanjavur,213460.0,01-06-2021,15164.52867
Theni,102498.0,01-06-2021,3776.837255
Thoothukudi,155179.0,01-06-2021,12477.36563
Tiruchirapalli,325807.0,01-06-2021,19565.01505
Tirunelveli,142276.0,01-06-2021,5921.305354
Tirupathur,113677.0,01-06-2021,6539.264233
Tiruppur,235317.0,01-06-2021,21165.17901
Tiruvallur,288365.0,01-06-2021,7739.894039
Tiruvannamalai,148711.0,01-06-2021,11727.12748
Tiruvarur,91475.0,01-06-2021,3704.993793
Vellore,222271.0,01-06-2021,13769.37287
Villupuram,163550.0,01-06-2021,7814.131179
Virudhunagar,274142.0,01-06-2021,14106.96909
Ariyalur,21830.0,02-04-2021,2901.069927
Chengalpattu,125183.0,02-04-2021,4897.145969
Chennai,790235.0,02-04-2021,11130.07042
Coimbatore,203106.0,02-04-2021,5848.853503
Cuddalore,75031.0,02-04-2021,2884.831288
Dharmapuri,50247.0,02-04-2021,3343.336217
Dindigul,65899.0,02-04-2021,3048.950039
Erode,69502.0,02-04-2021,3075.843244
Kallakurichi,32465.0,02-04-2021,2369.222079
Kancheepuram,36026.0,02-04-2021,3088.646186
Kanniyakumari,59578.0,02-04-2021,3197.65476
Karur,34606.0,02-04-2021,3214.414428
Krishnagiri,83216.0,02-04-2021,4417.615891
Madurai,125229.0,02-04-2021,3137.75514
Nagapattinam,31803.0,02-04-2021,1970.361862
Namakkal,81212.0,02-04-2021,11048.18446
The Nilgiris,72993.0,02-04-2021,2953.720872
Perambalur,20963.0,02-04-2021,1217.944211
Pudukkottai,43390.0,02-04-2021,7686.298407
Ramanathapuram,33636.0,02-04-2021,1753.039128
Ranipet,23529.0,02-04-2021,1759.098657
Salem,196659.0,02-04-2021,16249.09008
Sivagangai,37063.0,02-04-2021,1065.026287
Tenkasi,34383.0,02-04-2021,2563.504194
Thanjavur,79806.0,02-04-2021,5669.541718
Theni,27815.0,02-04-2021,1024.924664
Thoothukudi,37396.0,02-04-2021,3006.873129
Tiruchirapalli,114481.0,02-04-2021,6874.691113
Tirunelveli,38332.0,02-04-2021,1595.318092
Tirupathur,31638.0,02-04-2021,1819.974505
Tiruppur,67757.0,02-04-2021,6094.285725
Tiruvallur,90444.0,02-04-2021,2427.572613
Tiruvannamalai,45241.0,02-04-2021,3567.63773
Tiruvarur,21583.0,02-04-2021,874.1719708
Vellore,87102.0,02-04-2021,5395.845233
Villupuram,73861.0,02-04-2021,3528.948597
Virudhunagar,112109.0,02-04-2021,5768.974466
Ariyalur,42231.0,02-05-2021,5612.234728
Chengalpattu,253585.0,02-05-2021,9920.218884
Chennai,1492075.0,02-05-2021,21015.14085
Coimbatore,421087.0,02-05-2021,12126.06312
Cuddalore,142898.0,02-05-2021,5494.217342
Dharmapuri,87114.0,02-05-2021,5796.393639
Dindigul,136830.0,02-05-2021,6330.7157
Erode,137229.0,02-05-2021,6073.133039
Kallakurichi,55744.0,02-05-2021,4068.07071
Kancheepuram,67775.0,02-05-2021,5810.608873
Kanniyakumari,118784.0,02-05-2021,6375.343633
Karur,54978.0,02-05-2021,5106.68891
Krishnagiri,130941.0,02-05-2021,6951.15173
Madurai,227290.0,02-05-2021,5695.009669
Nagapattinam,58323.0,02-05-2021,3613.414296
Namakkal,141713.0,02-05-2021,19278.81796
The Nilgiris,134471.0,02-05-2021,5441.477941
Perambalur,33966.0,02-05-2021,1973.414735
Pudukkottai,81993.0,02-05-2021,14524.60625
Ramanathapuram,70870.0,02-05-2021,3693.598614
Ranipet,46268.0,02-05-2021,3459.134543
Salem,342001.0,02-05-2021,28258.07646
Sivagangai,66394.0,02-05-2021,1907.869177
Tenkasi,59859.0,02-05-2021,4462.926375
Thanjavur,141933.0,02-05-2021,10083.13992
Theni,58424.0,02-05-2021,2152.802394
Thoothukudi,79494.0,02-05-2021,6391.816571
Tiruchirapalli,213558.0,02-05-2021,12824.35762
Tirunelveli,73599.0,02-05-2021,3063.075661
Tirupathur,68036.0,02-05-2021,3913.767792
Tiruppur,135410.0,02-05-2021,12179.21735
Tiruvallur,183652.0,02-05-2021,4929.332686
Tiruvannamalai,82116.0,02-05-2021,6475.545188
Tiruvarur,45371.0,02-05-2021,1837.65262
Vellore,168632.0,02-05-2021,10446.51298
Villupuram,100808.0,02-05-2021,4816.428835
Virudhunagar,185469.0,02-05-2021,9543.978853
Ariyalur,617.0,02-06-2021,81.9954258
Chengalpattu,801.0,02-06-2021,31.33503687
Chennai,4866.0,02-06-2021,68.53521127
Coimbatore,3054.0,02-06-2021,87.94618868
Cuddalore,4117.0,02-06-2021,158.2925779
Dharmapuri,612.0,02-06-2021,40.72127221
Dindigul,477.0,02-06-2021,22.06936629
Erode,569.0,02-06-2021,25.18135889
Kallakurichi,56.0,02-06-2021,4.086753009
Kancheepuram,735.0,02-06-2021,63.01434927
Kanniyakumari,406.0,02-06-2021,21.79072531
Karur,0.0,02-06-2021,0.0
Krishnagiri,2245.0,02-06-2021,119.1783753
Madurai,973.0,02-06-2021,24.37962254
Nagapattinam,708.0,02-06-2021,43.86429576
Namakkal,389.0,02-06-2021,52.92005806
